date,open,high,low,close,volume
2023-07-21 00:00:00+05:30,40.0,48.0,37.2,48.0,265460620
2023-07-24 00:00:00+05:30,52.95,56.3,50.2,51.3,115622544
2023-07-25 00:00:00+05:30,52.5,53.85,48.75,51.2,31533256
2023-07-26 00:00:00+05:30,52.0,52.2,49.9,50.1,8829772
2023-07-27 00:00:00+05:30,49.95,50.45,48.0,48.15,8765735
2023-07-28 00:00:00+05:30,48.95,51.65,48.6,51.25,14506626
2023-07-31 00:00:00+05:30,52.0,52.6,51.0,51.45,7674595
2023-08-01 00:00:00+05:30,51.65,51.9,50.6,51.1,4207530
2023-08-02 00:00:00+05:30,51.2,51.6,48.8,49.85,6582622
2023-08-03 00:00:00+05:30,50.4,51.2,49.5,50.4,3790377
2023-08-04 00:00:00+05:30,50.85,51.4,50.0,50.75,3991555
2023-08-07 00:00:00+05:30,51.75,54.95,50.9,53.3,15148835
2023-08-08 00:00:00+05:30,53.8,53.8,51.15,51.6,6930700
2023-08-09 00:00:00+05:30,51.0,51.3,49.6,50.35,6089259
2023-08-10 00:00:00+05:30,50.0,51.65,50.0,50.35,3365576
2023-08-11 00:00:00+05:30,50.4,51.3,50.35,50.9,2195425
2023-08-14 00:00:00+05:30,51.0,51.15,49.9,50.55,2560844
2023-08-16 00:00:00+05:30,50.5,52.25,50.25,51.65,3786319
2023-08-17 00:00:00+05:30,51.0,51.0,48.9,49.0,7062918
2023-08-18 00:00:00+05:30,49.1,49.6,47.6,48.2,5971511
2023-08-21 00:00:00+05:30,48.45,49.0,47.6,47.75,3696307
2023-08-22 00:00:00+05:30,48.0,49.0,47.6,47.75,4257457
2023-08-23 00:00:00+05:30,47.8,48.4,47.4,47.65,2858126
2023-08-24 00:00:00+05:30,47.8,48.5,47.4,48.1,4583853
2023-08-25 00:00:00+05:30,48.35,49.35,47.95,49.05,5463062
2023-08-28 00:00:00+05:30,49.45,49.45,47.85,48.55,2718149
2023-08-29 00:00:00+05:30,48.75,49.15,48.0,48.25,2953267
2023-08-30 00:00:00+05:30,48.5,49.05,47.8,48.05,1722568
2023-08-31 00:00:00+05:30,48.4,48.6,47.45,47.8,1702358
2023-09-01 00:00:00+05:30,47.8,48.35,47.7,48.0,1322282
2023-09-04 00:00:00+05:30,48.5,48.6,47.7,48.1,2256946
2023-09-05 00:00:00+05:30,47.75,48.95,47.75,48.5,2738046
2023-09-06 00:00:00+05:30,48.65,48.65,47.95,48.1,1622237
2023-09-07 00:00:00+05:30,48.15,48.4,47.85,48.05,1603541
2023-09-08 00:00:00+05:30,48.3,49.4,47.75,48.1,7520898
2023-09-11 00:00:00+05:30,48.4,48.55,47.85,47.95,2888628
2023-09-12 00:00:00+05:30,48.0,48.1,45.9,47.6,5299888
2023-09-13 00:00:00+05:30,47.9,50.45,46.65,49.6,9240077
2023-09-14 00:00:00+05:30,50.1,50.3,49.0,49.45,2585561
2023-09-15 00:00:00+05:30,49.8,52.3,49.25,50.55,8829787
2023-09-18 00:00:00+05:30,50.95,53.0,50.4,51.6,10010300
2023-09-20 00:00:00+05:30,51.75,54.1,50.55,51.35,8062744
2023-09-21 00:00:00+05:30,51.3,51.7,49.75,49.9,3072338
2023-09-22 00:00:00+05:30,49.8,50.75,49.2,50.0,2000322
2023-09-25 00:00:00+05:30,50.35,50.4,49.75,50.05,907105
2023-09-26 00:00:00+05:30,50.15,50.85,49.5,49.75,1840882
2023-09-27 00:00:00+05:30,49.95,51.2,49.25,50.0,3395217
2023-09-28 00:00:00+05:30,50.3,51.9,50.2,50.95,3021148
2023-09-29 00:00:00+05:30,51.5,52.1,51.05,51.25,2009106
2023-10-03 00:00:00+05:30,51.5,52.7,51.2,51.6,2734866
2023-10-04 00:00:00+05:30,51.5,53.15,51.0,51.35,4346738
2023-10-05 00:00:00+05:30,51.65,61.6,51.65,59.55,69218167
2023-10-06 00:00:00+05:30,60.3,60.9,58.1,58.75,24078050
2023-10-09 00:00:00+05:30,57.1,57.3,53.05,54.05,19141335
2023-10-10 00:00:00+05:30,54.45,56.7,53.8,56.35,12586119
2023-10-11 00:00:00+05:30,57.3,58.15,56.0,56.55,9751789
2023-10-12 00:00:00+05:30,56.85,56.95,55.25,55.7,4272916
2023-10-13 00:00:00+05:30,54.6,59.65,54.6,59.05,18215827
2023-10-16 00:00:00+05:30,57.9,58.95,54.65,55.1,16586930
2023-10-17 00:00:00+05:30,56.0,56.2,54.1,54.45,7337866
2023-10-18 00:00:00+05:30,54.55,55.6,53.4,54.75,6420608
2023-10-19 00:00:00+05:30,54.6,54.6,53.75,53.85,3491016
2023-10-20 00:00:00+05:30,53.85,54.5,52.45,53.55,5243212
2023-10-23 00:00:00+05:30,53.0,53.8,49.75,50.05,8850473
2023-10-25 00:00:00+05:30,50.8,51.5,48.0,48.95,8779782
2023-10-26 00:00:00+05:30,48.6,50.0,47.3,49.65,7146529
2023-10-27 00:00:00+05:30,49.9,50.3,49.1,50.0,5700491
2023-10-30 00:00:00+05:30,50.5,50.8,48.8,49.95,3546955
2023-10-31 00:00:00+05:30,50.65,50.9,49.45,50.0,3427531
2023-11-01 00:00:00+05:30,50.15,51.4,49.45,49.85,4921969
2023-11-02 00:00:00+05:30,50.35,50.7,49.75,50.0,3753632
2023-11-03 00:00:00+05:30,50.4,51.15,50.0,50.25,3653093
2023-11-06 00:00:00+05:30,51.3,52.3,50.8,51.65,6277722
2023-11-07 00:00:00+05:30,52.15,52.35,51.0,51.3,3381885
2023-11-08 00:00:00+05:30,51.6,51.85,50.0,50.1,5272477
2023-11-09 00:00:00+05:30,50.2,51.2,49.75,49.9,5727484
2023-11-10 00:00:00+05:30,49.85,50.6,49.5,50.35,2537698
2023-11-12 00:00:00+05:30,51.0,51.5,51.0,51.35,1846907
2023-11-13 00:00:00+05:30,51.4,53.45,50.75,52.9,7421233
2023-11-15 00:00:00+05:30,53.9,54.0,52.8,53.2,5536228
2023-11-16 00:00:00+05:30,53.45,53.5,52.5,52.65,2366966
2023-11-17 00:00:00+05:30,51.3,52.25,51.3,51.7,2792029
2023-11-20 00:00:00+05:30,51.7,51.95,50.65,50.85,2709347
2023-11-21 00:00:00+05:30,51.0,51.55,50.7,50.85,1916786
2023-11-22 00:00:00+05:30,51.05,51.2,50.05,50.35,1524759
2023-11-23 00:00:00+05:30,50.5,50.8,50.3,50.55,1112539
2023-11-24 00:00:00+05:30,50.85,51.15,50.2,50.5,1355124
2023-11-28 00:00:00+05:30,50.7,50.75,50.0,50.2,1533970
2023-11-29 00:00:00+05:30,50.4,50.7,49.5,49.9,2440015
2023-11-30 00:00:00+05:30,50.15,50.45,49.4,50.2,1607516
2023-12-01 00:00:00+05:30,50.7,51.1,50.0,50.2,2211712
2023-12-04 00:00:00+05:30,51.0,51.0,50.2,50.3,2076719
2023-12-05 00:00:00+05:30,50.6,50.95,49.85,50.05,3636084
2023-12-06 00:00:00+05:30,50.3,50.5,49.85,50.1,2030899
2023-12-07 00:00:00+05:30,50.5,52.15,49.85,51.6,7559364
2023-12-08 00:00:00+05:30,52.35,53.0,51.1,51.75,4994111
2023-12-11 00:00:00+05:30,52.05,52.75,51.65,51.95,4242673
2023-12-12 00:00:00+05:30,51.85,52.75,51.55,51.85,4327714
2023-12-13 00:00:00+05:30,52.0,52.9,51.3,51.5,3670793
2023-12-14 00:00:00+05:30,51.8,52.25,51.35,51.5,2469188
2023-12-15 00:00:00+05:30,51.95,51.95,51.1,51.4,2292259
2023-12-18 00:00:00+05:30,51.6,53.65,50.85,52.85,11203411
2023-12-19 00:00:00+05:30,53.1,54.8,52.5,53.0,10675723
2023-12-20 00:00:00+05:30,53.45,53.6,49.9,50.25,6557011
2023-12-21 00:00:00+05:30,49.85,51.4,49.15,51.15,2929292
2023-12-22 00:00:00+05:30,51.95,53.5,51.9,52.4,6665646
2023-12-26 00:00:00+05:30,52.9,53.7,51.95,53.0,3868180
2023-12-27 00:00:00+05:30,53.35,53.4,51.95,52.1,2274674
2023-12-28 00:00:00+05:30,52.45,53.2,51.55,52.65,3093750
2023-12-29 00:00:00+05:30,52.65,54.35,52.55,53.85,10497805
2024-01-01 00:00:00+05:30,53.95,54.5,53.0,53.35,3444701
2024-01-02 00:00:00+05:30,53.6,53.6,52.1,52.85,2842428
2024-01-03 00:00:00+05:30,52.85,53.7,52.75,53.25,3225103
2024-01-04 00:00:00+05:30,54.05,59.6,53.75,57.6,39366693
2024-01-05 00:00:00+05:30,60.3,60.6,56.9,58.9,22420239
2024-01-08 00:00:00+05:30,59.5,59.65,56.85,57.2,6320362
2024-01-09 00:00:00+05:30,57.65,57.8,55.7,56.05,3856779
2024-01-10 00:00:00+05:30,56.35,58.9,55.5,58.1,8496051
2024-01-11 00:00:00+05:30,58.85,61.4,58.0,59.05,13329318
2024-01-12 00:00:00+05:30,59.8,65.0,59.2,62.75,39851760
2024-01-15 00:00:00+05:30,64.0,64.85,60.85,61.75,10683588
2024-01-16 00:00:00+05:30,61.75,63.3,60.1,61.1,7168470
2024-01-17 00:00:00+05:30,61.0,61.45,59.35,59.85,5110374
2024-01-18 00:00:00+05:30,59.65,61.4,57.35,60.95,6798983
2024-01-19 00:00:00+05:30,61.0,61.8,58.85,59.4,5969336
2024-01-20 00:00:00+05:30,59.85,61.3,59.5,60.75,3696909
2024-01-23 00:00:00+05:30,61.45,62.1,58.2,58.8,6467658
2024-01-24 00:00:00+05:30,57.85,59.05,57.6,58.6,5072564
2024-01-25 00:00:00+05:30,58.95,59.15,57.85,58.15,3263099
2024-01-29 00:00:00+05:30,59.55,61.45,58.25,58.5,10836241
2024-01-30 00:00:00+05:30,59.0,59.2,56.85,57.7,6858303
2024-01-31 00:00:00+05:30,57.95,58.2,57.3,57.5,3077430
2024-02-01 00:00:00+05:30,57.5,58.15,56.6,57.25,4119145
2024-02-02 00:00:00+05:30,57.15,61.05,57.15,59.25,14441233
2024-02-05 00:00:00+05:30,59.25,62.0,59.2,60.1,10450414
2024-02-06 00:00:00+05:30,60.5,62.4,60.3,60.65,9583698
2024-02-07 00:00:00+05:30,62.0,62.0,60.45,61.45,6701084
2024-02-08 00:00:00+05:30,62.0,68.3,62.0,64.5,40454743
2024-02-09 00:00:00+05:30,64.4,66.45,60.25,62.1,21512479
2024-02-12 00:00:00+05:30,62.5,62.55,57.2,57.6,9685815
2024-02-13 00:00:00+05:30,57.45,58.5,55.8,58.1,5527055
2024-02-14 00:00:00+05:30,57.6,58.75,56.8,58.55,2940278
2024-02-15 00:00:00+05:30,59.0,59.7,55.15,56.3,11149696
2024-02-16 00:00:00+05:30,56.75,57.2,56.35,56.55,4581171
2024-02-19 00:00:00+05:30,58.0,58.0,55.6,55.7,4299278
2024-02-20 00:00:00+05:30,55.85,56.6,53.5,55.25,6125804
2024-02-21 00:00:00+05:30,55.5,55.95,54.1,54.45,3256518
2024-02-22 00:00:00+05:30,54.25,55.4,53.6,55.2,3167005
2024-02-23 00:00:00+05:30,55.65,55.8,54.3,54.55,3979772
2024-02-26 00:00:00+05:30,54.55,54.85,53.65,53.75,2520232
2024-02-27 00:00:00+05:30,53.95,54.3,52.3,52.5,4746086
2024-02-28 00:00:00+05:30,52.7,53.25,50.7,51.15,4258671
2024-02-29 00:00:00+05:30,51.3,52.6,50.6,52.2,3748624
2024-03-01 00:00:00+05:30,52.2,52.95,52.2,52.75,1929976
2024-03-02 00:00:00+05:30,53.0,53.35,52.75,53.0,483994
2024-03-04 00:00:00+05:30,53.05,53.05,51.65,51.9,1626451
2024-03-05 00:00:00+05:30,51.9,52.2,50.9,51.75,2545873
2024-03-06 00:00:00+05:30,51.3,51.6,49.0,49.6,5283472
2024-03-07 00:00:00+05:30,50.05,51.5,49.4,49.75,4210645
2024-03-11 00:00:00+05:30,51.5,51.6,49.4,50.6,3893399
2024-03-12 00:00:00+05:30,51.05,51.05,48.75,49.0,3628943
2024-03-13 00:00:00+05:30,48.05,49.1,45.05,45.75,5661766
2024-03-14 00:00:00+05:30,45.45,48.55,44.85,48.3,3954644
2024-03-15 00:00:00+05:30,48.0,49.5,47.7,49.05,4136794
2024-03-18 00:00:00+05:30,49.05,49.95,48.6,49.3,2437824
2024-03-19 00:00:00+05:30,49.25,49.75,48.3,48.65,1295522
2024-03-20 00:00:00+05:30,48.7,49.1,47.5,47.75,1953051
2024-03-21 00:00:00+05:30,48.15,48.9,48.15,48.35,1620225
2024-03-22 00:00:00+05:30,48.35,49.7,48.35,49.25,2106879
2024-03-26 00:00:00+05:30,50.6,50.6,48.65,48.85,5272575
2024-03-27 00:00:00+05:30,49.05,49.5,45.95,46.3,7891505
2024-03-28 00:00:00+05:30,46.9,47.45,46.8,47.0,3106722
2024-04-01 00:00:00+05:30,47.95,49.65,47.55,49.35,3301640
2024-04-02 00:00:00+05:30,50.0,50.6,49.3,50.45,3414303
2024-04-03 00:00:00+05:30,50.6,51.8,49.85,51.6,3214982
2024-04-04 00:00:00+05:30,51.7,53.0,51.65,52.65,4539108
2024-04-05 00:00:00+05:30,52.5,53.25,51.85,53.1,3631854
2024-04-08 00:00:00+05:30,54.5,55.15,53.6,53.9,5840887
2024-04-09 00:00:00+05:30,54.0,54.35,53.1,53.9,3033966
2024-04-10 00:00:00+05:30,53.9,54.0,53.0,53.1,1867864
2024-04-12 00:00:00+05:30,53.0,53.7,52.5,53.5,3061002
2024-04-15 00:00:00+05:30,51.0,54.0,50.35,53.45,5087946
2024-04-16 00:00:00+05:30,53.4,53.5,49.65,50.35,17342284
2024-04-18 00:00:00+05:30,51.75,52.85,51.2,52.55,7046617
2024-04-19 00:00:00+05:30,51.6,55.8,50.85,54.95,11139421
2024-04-22 00:00:00+05:30,55.95,57.8,54.8,56.8,8874387
2024-04-23 00:00:00+05:30,57.05,58.75,56.9,57.85,7572363
2024-04-24 00:00:00+05:30,58.2,61.4,58.2,59.25,16266757
2024-04-25 00:00:00+05:30,59.45,60.7,56.95,58.95,17033625
2024-04-26 00:00:00+05:30,59.6,60.7,59.0,59.6,9161509
2024-04-29 00:00:00+05:30,61.7,61.7,58.0,58.3,12996411
2024-04-30 00:00:00+05:30,58.7,58.95,57.0,57.15,4121377
2024-05-02 00:00:00+05:30,57.35,57.6,56.2,56.9,3349945
2024-05-03 00:00:00+05:30,57.15,57.45,55.4,55.85,3165451
2024-05-06 00:00:00+05:30,56.4,56.45,54.05,54.5,3609218
2024-05-07 00:00:00+05:30,54.45,54.65,52.5,53.3,2774340
2024-05-08 00:00:00+05:30,53.25,54.9,52.8,54.25,3187453
2024-05-09 00:00:00+05:30,54.5,54.8,52.5,52.7,1774713
2024-05-10 00:00:00+05:30,53.0,53.45,51.75,53.1,1925923
2024-05-13 00:00:00+05:30,53.6,53.65,51.6,53.0,2749579
2024-05-14 00:00:00+05:30,53.55,53.65,52.8,53.1,1284047
2024-05-15 00:00:00+05:30,53.45,53.9,51.75,52.4,2110693
2024-05-16 00:00:00+05:30,52.7,53.2,51.0,52.25,2156497
2024-05-17 00:00:00+05:30,52.5,53.05,51.9,52.85,1790353
2024-05-18 00:00:00+05:30,53.25,54.45,52.95,53.65,602624
2024-05-21 00:00:00+05:30,53.6,53.65,52.6,52.7,1542581
2024-05-22 00:00:00+05:30,53.0,53.1,52.05,52.5,1827193
2024-05-23 00:00:00+05:30,52.9,53.5,52.65,53.25,1304749
